id,title,author,cities
11639,"The Cup of Trembling and Other Stories","Mary Hallock Foote","22760,21919,21919,20078,239"
11640,"A Night in Avignon","Cale Young Rice","4084,4084"
11641,"A Key to Lord Tennyson's 'In Memoriam'","Alfred Gatty",7341
11642,"Chickamauga, Useless, Disastrous Battle","Smith D  Atkins",22975
11643,"Women Novelists of Queen Victoria's Reign","Mrs. [Margaret] Oliphant","65,65,65,65"
11644,"The Coward","Henry Morford","21921,1405,21921,21726,21732,20321,22888,22720,21000,21936,22888"
11645,"Louisiana Beef Cattle","William Carter Stubbs","14249,20430,20430"
11646,"The Philosophic Grammar of American Languages, as Set Forth by Wilhelm von Humboldt","Daniel G. Brinton",1405
11647,"The Mystery of Francis Bacon","William T. Smedley","20891,7275"
11648,"Subspeciation in Pocket Gophers of Kansas, [KU. Vol. 1 No. 11]","Bernardo Villa-R","22258,22258"
11649,"Cruisings in the Cascades","George O. Shields","239,2513,2489,2489,2489,23459,2489,2489,2513,20908,22742,20356"
11650,"The Log of a Sea-Waif","Frank T. Bullen","2576,20430,12296,12296,23568,23568,23508,23508"
11651,"Tales from the Old French",Various,"21650,21651,21651,21651"
11652,"Andreas Hofer","Lousia Muhlbach",22760
11653,"The Journal of Countess Francoise Krasinska","Kasimir Dziekonska (translator)",17292
11654,"The Palm Tree Blessing","W. E. Shepard","22455,239,15646,20430"
11655,"Wolfville Days","Alfred Henry Lewis","15648,22746,15648,22455,22222,22222,1601,1405,1405,1405,20430,1405,20430,19989,19989,19989,21324,21324,1601,21324,21324,21324,21324,19989"
11656,"A House Party with the Tucker Twins","Nell Speed",15664
11657,"Tripping with the Tucker Twins","Nell Speed","2576,20045,20976,21650,20806,21921"
11658,"In God's Garden","Amy Steedman","22760,21651,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760,22760"
11659,"Scenes and Adventures in the Semi-Alpine Region of the Ozark Mountains of Missouri and Arkansas","Henry Rowe Schoolcraft","23459,23459,19986,23459,20430,21190,20541,20541,19989,20541,20430,19986,19983,19985,20430,20430,20430,20541,20430,20430,20541,19986,20541,20430,19986,20541,19986,20541,21958,19986,19986,21969,19986,20541,19986,21969,21969,21969,20430,20430,20541,20430,19986,20430,20341,20430,20430,20430"
11660,"The Puddleford Papers,","H. H. Riley",239
11661,"An American","Belle W. Gue","236,236,236"
11662,"The Albert N'Yanza, Great Basin of the Nile","Sir Samuel White Baker","23459,23459"
11663,Fore!,"Charles Emmett Van Loan","22455,22760,20045,20045,20045,20045,20045,20045,20045,5727,5727,5727,20045,20045,20045,20045,20045,20045,20045,20045,20045"
11664,"Molly Brown's Freshman Days","Nell Speed",239
11665,"The Vicar of Wrexhill","Mrs [Frances] Trollope","15879,21651"
11666,"Sketch of Dunbarton, New Hampshire","Ella  Mills",20321
11667,Anarchism,"Paul Eltzbacher","21458,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921"
11668,"Revisiting the Earth","James Langdon Hill","20430,239,22455,22455,21324,20681,20357,239"
11669,"History of the Discovery of the Northwest by John Nicolet in 1634","Consul Willshire Butterfield","22171,20939,22171,22171,22171"
11670,"Peg Woffington","Charles Reade",19983
11671,"A New Medley of Memories","David Hunter-Blair","474,20891,7341"
11672,"Graceful Riding","S. C. Waite","2514,2514"
11673,"A Bayard From Bengal","Hurry Bungsho Jabberjee","7952,2576"
11674,"By Right of Purchase","Harold Bindloss","22907,20373"
11675,"The Black Opal","Katharine Susannah Prichard","21921,21921"
11676,Hookers,"Richard F. Mann","22746,22746,22746,22746,22746,22746,22746,22746,22746,22746,20357,20357,1601,22746"
11677,"The Best Psychic Stories",Various,"239,239"
11678,"The Haunted Homestead","E. D. E. N. Southworth","20430,20430,20430,20430,20430,20430,20430,20430,20430"
11679,Dickens,"Adolphus William Ward","7952,7952,2490"
11680,"Recollections of a Varied Life","George Cary Eggleston","20430,20430,20430,20430,8334,20430,20430,20430,21820,21921,20430,20430,239,239,20430,20430,21969,21732,22455,20430,22455"
11681,"House of Torment","Cyril Arthur Edward Ranger Gull",15516
11682,"One Maid's Mischief","George Manville Fenn","22760,8334"
11683,"Dutch the Diver","George Manville Fenn","19983,19983"
11684,"America First","Frances Nimmo Greene","1601,1601,1601,1601"
11685,"Occultism and Common-Sense","Beckles Willson","2576,2576,7508,7395,239,239,239"
11686,"Tales of the Wonder Club, Volume III","M. Y. Halidom (pseud. Dryasdust)",2870
11687,"The Browning Cyclopaedia","Edward Berdoe","144,22108,11895,144,144,144,20891"
11688,"Encyclopaedia Britannica, 11th Edition, Volume 10, Slice 1",Various,"1295,23568,20430,7649,20347,20321,2515,15135,20430,18445,239,23228,7877,6981,6981,7508,239"
11689,"Molly Brown of Kentucky","Nell Speed",20045
11690,"Peggy Owen Patriot","Lucy Foster Madison","21993,21921,21921,21993,65,21740,21754,20475,2523,21969,21969,21921,21921,21921"
11691,"Peggy Owen at Yorktown","Lucy Foster Madison","21921,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20342,21921"
11692,"McClure's Magazine, Vol. 1, No. 1, June 1893",Various,"21921,21921"
11693,"The Mountains of Oregon","William Gladstone Steel","22942,21921,239,19986,239,19986,22674,20000,22841,22841,22955,22977,22942,22977,22674,239,22955,5963,6464,20649,22849"
11694,"Ruth Fielding Down in Dixie","Alice B. Emerson","21921,21969,20681,20665"
11695,"Ruth Fielding Homeward Bound","Alice B. Emerson","20799,20357,20357"
11696,"The Stronghold","Miriam Haynie","1571,2491,20321,20321,22840,20321,21993,22840,20321,21071,22884,22884,20321,20321,20321,8325,21921,21757,21757,20626,21071,20321,20321"
11697,"St. Nicholas v. 13 No. 9 July 1886",Various,"21740,21740,21993,21921,20357,20626,20430,15646,22455,20586,21754,20939"
11698,"Capturing a Locomotive","William Pittenger","20373,20430,20430,21521"
11699,"The Romantic Story of the Mayflower Pilgrims","Albert Christopher Addison","15379,15379,15379,15379,21006,21149,15379,15379,15379"
11700,"Religion and the War",Various,"21149,21921,21147,21921,21993"
11701,"Cynthia Wakeham's Money","Anna Katharine Green","21921,21149"
11702,"The Firefly Of France","Marion Polk Angellotti","21726,21726"
11703,"The Further Adventures of O'Neill in Holland","J. Irwin Brown",15135
11704,"The Teacher","George Herbert Palmer","20078,21149"
11705,"Humorous Readings and Recitations",Various,"7952,7680"
11706,"Inventions in the Century","William Henry Doolittle","20321,239,21149,21921,21149"
11707,"Twenty-Five Years in the Rifle Brigade","William  Surtees","7835,14186,14186,15879,15646,15646,20430,1169,20430,20430,20430,21936,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,15646"
11708,Jonah,"Louis Stone",15378
11709,"More Misrepresentative Men","Harry Graham","21820,22888"
11710,"Concerning Lafcadio Hearn","George M. Gould","21921,21921,20430,20603,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,21921,20430,20430,20430,20430,20430,20430,21921,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,21853,21853,14002,21853,21853,20430,20430,20430,20430,20430"
11711,"McClure's Magazine, Vol. 1, No. 4, September 1893",Various,"21921,2514,20430,20792,20792,20792,20792,20792,21913,21987"
11712,"Treading the Narrow Way","R. E. Barrett","22455,19986"
11713,"Critical Studies",Ouida,3850
11714,"A Twofold Life","Wilhelmine von Hillern","2515,2515,2515,2515"
11715,"Getting Gold","J. C. F. Johnson","519,519"
11716,"A Book About the Theater","Brander Matthews","20430,21921,20891"
11717,"The Mormon Puzzle, and How to Solve It","R. W. Beers","22888,21190,21921,22888,21190,21190,21190,21190,21190,22888,22888,22888,22888,22758,22888,22888,22888,22888,22888,22888,22888,22758,22888,22888,21190,22888,22888,22888,22888,22888,22888,22888,22888"
11718,"Myth, Ritual And Religion, Vol. 2 (of 2)","Andrew Lang","17292,21147"
11719,"Bygones Worth Remembering, Vol. 2 (of 2)","George Jacob Holyoake","22720,22720,4037,22720,20078"
11720,"Acres of Diamonds","Russell H. Conwell","2490,2490,21147,239,21968,21635,21643,22197,21921,22888"
11721,"The Romance of Polar Exploration","G. Firth Scott","23613,191"
11722,"The League of the Leopard","Harold Bindloss","1295,1295,1295,1295,1295,1295,474,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1169,1169,1169,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1169,1295,1295,1295"
11723,"Mr. Crewe's Career, Book I.","Winston Churchill",22824
11724,"Advanced Toy Making for Schools","David M. Mitchell",21726
11725,Rome,"Mildred Anna Rosalie Tuker","15518,15518,1571,1571,1571,144,20891,1571,1571,144,1571,1571,1571"
11726,"Visits and Sketches at Home and Abroad with Tales and Miscellanies Now First Collected","Anna Jameson",239
11727,"Mr. Crewe's Career, Book II.","Winston Churchill",22824
11728,"Visits and Sketches at Home and Abroad with Tales and Miscellanies Now First Collected","Anna Jameson","5972,5972,5972,5972"
11729,"Japan and the California Problem","Toyokichi Iyenaga","22455,239,239,239,239,22455,20342,239,239,239,239,22455,22455,22455,22455,239,239,239,239,239,20976"
11730,"The Vulture Maiden","Wilhelmine von Hillern","22760,22760,20891"
11731,Throckmorton,"Molly Elliot Seawell",20430
11732,"Mr. Crewe's Career, Book III.","Winston Churchill","21820,2514"
11733,"A Tree with a Bird in it:","Margaret Widdemer",21969
11734,"Conscript 2989","Irving Crump",21921
11735,"The Camp Fire Girls at Onoway House","Hildegard G. Frey","239,1405,1601"
11736,"Notes and Queries, Vol. III, Number 83, May 31, 1851",Various,7680
11737,"The Lure of the Pen","Flora Klickmann","239,20681"
11738,"Mr. Crewe's Career, Complete","Winston Churchill","22824,22824,21820,2514"
11739,"The Works of Daniel Webster, Volume 1","Daniel Webster","20430,20000,21993,20430,20430,20000,20000,20000,20000,20000,20430,20000,20430,20430,20000,20000,21149,21740,20430,20430,18445,20000,22720"
11740,"Blue Robin, the Girl Pioneer","Rena I. Halsey","8325,8325,8325,8325,8325,8325,8325,8325"
11741,Think,"Col. Wm. C. Hunter","22795,18527,2490,2490,2490"
11742,"Marjorie Dean College Freshman","Pauline Lester","239,22577,239,21921,21921,21921"
11743,"The Story of Antony Grace","George Manville Fenn","20877,22687,21651"
11744,"The Invasion of France in 1814","Emile Erckmann",21650
11745,"The Plebiscite","Emile Erckmann","6965,6965"
11746,"School Reading by Grades","James Baldwin","236,236,236,4079"
11747,"South Africa and the Transvaal War, Vol. 3 (of 6)","Louis Creswicke","23613,23613,23574,23613,23508,23613,23568,23508,23508,21740,22856,23613,441,23613,23613,23613,23613,23613,23574,23613,23613,23568,23613,23574,23574,23613"
11748,"The Real Man","Francis Lynde","20045,20045,20357,20347,22455"
11749,"The Ruby of Kishmoor","Howard Pyle",12296
11750,"Cotton, Its Progress from the Field to the Needle",Anonymous,"20430,20430,20430,20430"
11751,"Emerson Radio Model 39 Warranty Card",Anonymous,191
11752,"Rambles by Land and Water","B. M. Norman","20430,20430,1405,1405,3857,144,15645,65,2870,1405,1405,236,18527,1405,1405,1405,236,1405,1405,1405,1405,236,1405,14489,14489,1405,3857,1405,1405,1405,1405,236,3857,1405,1405,1405,1405,3857,3857,20430,1405,3857"
11753,Nicotiana,"Henry James Meller",1405
11754,"The Chronicles of Clovis",Saki,"7969,7969,7587,7587,7587,2576,7986"
11755,"The Sea Bride","Ben Ames Williams",21458
11756,"Rheims and the Battles for its Possession",Various,"6965,21651,21651,6967"
11757,"McClure's Magazine, Vol. 1, No. 5, October 1893",Various,"20430,22197,20792,7952"
11758,"Letters of Franz Liszt, Volume 1, 'From Paris to Rome:","Franz Liszt; Letters assembled by La Mara and translated","15135,15135"
11759,"Health, Healing, and Faith","Russell H. Conwell",20430
11760,"A Cabinet Secret","Guy Boothby",2576
11761,"George Alfred Henty","George Manville Fenn","18445,18445,18445,18445,18445,18445,18445,8071,8071,8071,8071,8071,8071,15879,8071,22760"
11762,"William the Third","H. D. Traill","2516,21747,2516"
11763,"Benjamin Franklin; Self-Revealed, Volume I (of 2)","Wiliam Cabell Bruce","21969,20342,21969,20342,15664,21853,20342,20891"
11764,"Benjamin Franklin; Self-Revealed, Volume II (of 2)","Wiliam Cabell Bruce","20342,20342,20342,20342,20342,20342,20342,21969,21969,15135,21969,1405,21740,2490"
11765,"The Outlaw of Torn","Edgar Rice Burroughs","2515,2515,2515,2515,2515,2515,2515,2515"
11766,"A History of the Boundaries of Arlington County, Virginia","Office of the County Manager, Arlington",20321
11767,"Marjorie Dean, College Senior","Pauline Lester",21921
11768,"In Wild Rose Time","Amanda M. Douglas",21820
11769,"Pawnee Hero Stories and Folk-Tales","George Bird Grinnell","22808,1601,1601,1601,21190,21672"
11770,"The Letters of Amerigo Vespucci","Amerigo Vespucci","1637,4079,1571,1571,1571,4079,236,4079,4079,4079,1571,4079,152"
11771,"Memoir of Mary L. Ware, Wife of Henry Ware, Jr.","Edward B. Hall","7341,7341,7341,7341,21426"
11772,Murillo,"S. L. Bensusan","1571,5972,1571,238"
11773,"In the Days of the Guild","Louise Lamprey","21651,21651,21651,21650,2538"
11774,"Legend of Barkhamsted Light House","Lewis Sprague Mills",21127
11775,"Biography of Rev. Hosea Ballou","Maturin M. Ballou","21150,21458,2490"
11776,"Richard Galbraith, Mariner","Emma Watts Phillips","22760,23613"
11777,"Jock of the Bushveld","Percy FitzPatrick",23511
11778,"The Heart of Canyon Pass","Thomas K. Holmes","19983,19983,19983"
11779,"City Ballads","Will Carleton","21820,21820,20321"
11780,"Heroes of Israel","Theodore Gerald Soares","239,239"
11781,"A Child of the Jago","Arthur Morrison","23568,2576,7969,7969"
11782,"My Attainment of the Pole","Frederick A. Cook","239,21149,20681,21921"
11783,"Equatorial America","Maturin M. Ballou","1295,2876,23319,21071,1169,1169,8334,18527,1571,1295,2870,21458,2284,1169,2284,1295,1295,1295,1295,15664,1640,1601,1571,2870,20430,1405,169,169,169,2876,20976,22720,2876,2876,2876,2876,5852,2876,20430,21572,239,1405,144,144,144,2867,239,144,2868,236,22888"
11784,"The Motion Picture Chums at Seaside Park","Victor Appleton","21921,21921,21921,21921,21921,20140"
11785,"Harriet Martineau","Florence Fenwick Miller","20430,2514"
11786,"The Story of the Toys","Mary Harris Toy Dodge","23613,23613,23613,21190,22052,20194,20194,20430,21149,23064,21147"
11787,"The Women of the Confederacy","J. L. Underwood","20430,20430,20626,1601,20430,20430,2870,20430,20430,20430,20430,20430,20430,20430,20430,20430,22376,21149,20430,20430,20430,239"
11788,"Old Trails on the Niagara Frontier","Frank H. Severance","2490,21921,2490,2490,2438,2438,2438,2438,21149,2438,2438,20430,2438,21672,21921,20430,2490,20430,20430,20430,20430,21458,21853,2490,2490,2490,2490,2438,20430,2438,2490,2490,2490,2438,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,21538,2490,2490,2490,2490,2490,2490"
11789,"The Lost Heir","G. A. Henty","2576,2576"
11790,"Finger Prints","Francis Galton","239,239"
11791,"Fifty Contemporary One-Act Plays",Various,"21921,21921,2514,21921,21921,21921,21921,239,21921,21921,22988,22988,22988,22988,21921,20577"
11792,"The eBook is 40 (1971-2011)","Marie Lebert","239,239,18445,23209,15135,22516,22516,22516,239,239,22455,239"
11793,"An Englishman's View of the Battle between the Alabama and the Kearsarge","Frederick Milnes Edge",20430
11794,"Some Phases of Sexual Morality and Church Discipline in Colonial New England","Charles Francis Adams","2491,2491"
11795,"The ghosts of their ancestors","Weymer Jay Mills","20373,20373"
11796,"The Ontario Archives","Alexander Fraser","21740,2503,2561"
11797,"The Future of Brooklyn","Alfred C. Chapin","21921,21921,21921"
11798,"Every Man for Himself","Norman Duncan",22171
11799,"The Land of Lure","Elliott Smith",20908
11800,"The Fortunes and Misfortunes of the Famous Moll Flanders &c.","Daniel Defoe","20772,20772,20772,20772,20772"
11801,"Tessa Wadsworth's Discipline","Jennie M. Drinkwater","65,22238"
11802,"Butterflies Worth Knowing","Clarence M. Weed","21921,21921,21921,20681,21921,21921"
11803,"Get-Rich-Quick Wallingford","George Randolph Chester","21726,2514,239"
11804,"Carolyn of the Corners","Ruth Belmore Endicott","21921,21921,21921,21921"
11805,"Elements of Morals","Paul Janet",14002
11806,"The Comforts of Home","Ralph Bergengren",21820
11807,"The Girls of Central High","Gertrude W. Morrison",20140
11808,"Foul Play","Charles Reade",1405
11809,"Four Afloat","Ralph Henry Barbour","21818,21818,21818,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21149,21149,21150,21149,21149,21149,21150"
11810,"The Express Companies of the United States","Bert Benedict","21921,21921,239,21921,21921,239,21921"
11811,"Getting at the Inner Man/Fifty Years on the Lecture Platform","Robert Shackleton","21643,21968,21635,21921,22888"
11812,"With Fire and Sword","Henryk Sienkiewicz","21650,21650,20891,21650"
11813,"Americanisms and Briticisms","Brander Matthews",239
11814,"English and Scottish Ballads, Volume I (of 8)",Various,"22760,22760,22760"
11815,"Religion And Health","James J. Walsh","239,239"
11816,"Journal of Dr. Elias Cornelius, a Revolutionary Surgeon","Elias Cornelius","20772,20772,20772,20475,21921,21921,2461,21921,2461,21921,21921"
11817,"The Key to Success","Russell H. Conwell",239
11818,"Stories of the Railroad","John A. Hill","20806,1601,22720,239,2870,22455,22720,22720,22720,22720,21458,21458,239,239,239,20078,20078,22888"
11819,"The Red Room","August Strindberg","493,493,493"
11820,"A Naturalist's Voyage Round the World","Charles Darwin","2868,1632,169,169,169,1598,1598,253,1598,253,1598,253,1598,1598,1598,253,1598,253,6464,1169,1598,23613,169,1598,1598,1598,169,1598,1598,1598,1598,15652,1598,2018,20175,15652,1598,169,236,20175,1598,169,1598,1169,1169,1169,1169,6464,169,1169,1169,1598,1169,1169,1169,1598,1598,1169,1606,5972,5972,1598,142,2867,5972,142,142,2867,2867,169,169,2868,234,169,197,197,1169,6102,169,144,20175,6102,20175,144,144,1405,144,2018,1598,1405,228,228,1169,2018,169,142,142,142,14004,169,14004,169,169,1169,253,2018,1169,169,1169,2868,169,144,1598"
11821,"The Coming of the King","James Hocking","15135,15135"
11822,"The History of the Life and Adventures of Mr. Duncan Campell","Daniel Defoe",2516
11823,"Happy Hawkins","Robert Alexander Wason","239,20430,2514,21732,21921,22455,22455,239,20430,22455,22455,22455,22455,239,239"
11824,"An Alphabetical List of Books Contained in Bohn's Libraries (1892)","Bohn's Libraries",15879
11825,"Life of Mary Queen of Scots, Volume I (of 2)","Henry Glassford Bell","15879,15879,505"
11826,"The Valiant Runaways","Gertrude Atherton","22455,22455,22455,22455,22455,22455,22455,15879,22455,22455,22455,22455,22455,22455,22455,5972,22455"
11827,"Through these Eyes","Lauren Ann Isaacson","22455,22594,22594,14249,14249,21192,15664,21196,21185"
11828,"Encyclopaedia Britannica, 11th Edition, Volume 11, Slice 3",Various,"20792,21726,7427,2514,2514,21884,20430,8334,20976,23613,7341,20556,474,21740,21740,17430,239,17430,169,169"
11829,Successward,"Edward W. Bok",21921
11830,"The Trimmed Lamp","O. Henry","1601,21969,21820,21820,20430,20976"
11831,"A Brief Handbook of English Authors","Oscar Fay Adams","21921,21921,21921,21921,21921,21921"
11832,"World's End","Richard Jefferies","21921,22760,21651,22760,2576"
11833,"An Introduction to Chemical Science","R.P. Williams","22641,21740,21519"
11834,"Great Ralegh","Hugh De Selincourt","1169,14578,1169,19983,1169"
11835,"In Strange Company","Guy Boothby","142,142,239,5852,23613,23613,142,142,142,142,8334,239,519,519,239,519,8334,519"
11836,"Through Shot and Flame","J. D. Kestell","23613,23613,20078,23511"
11837,"The Locusts' Years","Mary Helen Fee","5459,15664,8334"
11838,"Love Eternal","H. Rider Haggard","14249,14249,1405"
11839,"The Bradys' Chinese Clew","Francis Worcester Doughty","239,239,239"
11840,"What Works: Schools Without Drugs","United States Department of Education","21511,21921,22455,22455,20523,22594,20357,20626,20626,20523,21519,21519,21519,22455,22455"
11841,"Literary Blunders","Henry Benjamin Wheatley","239,239,505,505,505,239"
11842,"The Backwoodsman",Various,"1601,1601,1601,1601,2514,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,20430,1601,1601,1601,1601,22746,22720,1601,2867,22720,1601,1601,1601,1601,22720,22720,1601,22720,22808,1601,20891,1601,22720,1601"
11843,"Humpback Whales in Glacier Bay National Monument, Alaska","United States Department of Commerce, Marine Mammal Commission",22419
11844,"Cedric, the Forester","Bernard Gay Marshall","22760,22760"
11845,"The Demands of Rome","Elizabeth Schoffen","22977,22977,22977,22977,2489,20430,22455,239,2490,21921,20681,20430,20430,2489"
11846,"Hints to Pilgrims","Charles Stephen Brooks","21921,21969,20230,20045"
11847,"Little Women","Louisa M. Alcott","65,505,505,65"
11848,"A Life For a Love","L. T. Meade","23568,23568,23568,23613,23568,23568"
11849,"Frontier Folk","George Booth",19983
11850,"Life in the Confederate Army","Arthur Peronneau Ford","20783,22942,22942,20645,20645,20783,20783"
11851,"The Sixty-First Second","Owen Johnson","8325,239,20430,239,239,239,20430,21921"
11852,"A History of the Cries of London","Charles Hindley",7969
11853,"The Moral and Intellectual Diversity of Races","Arthur, comte de Gobineau","22720,20430"
11854,"History of the Buccaneers of America","James Burney","2907,14489,1571,2579,223,14489,4079,16714,236,2907,14489,142,22760,14578,1571,1571,65,2579,2516,223,14489,21969,14578"
11855,"Hunting in Many Lands",Various,"4045,4045,14374,21740,22565,239,22720,20194,239,15646,4045,20806"
11856,"A Foreword to the Panama-Pacific International Exposition","Juliet Helena Lumbard James",20078
11857,Salome,"Emma Marshall",2576
11858,"The Happy Golfer","Henry Leach","20045,20045,20045,20045,20045,20045,2490,21279,20045,20045,20045,20045,20045,21279,21279,21279,21537,21537,20045,21259,239,21537,20045,2490,23650,20045,2490,21740,11893,6962"
11859,"Subconscious Religion","Russell H. Conwell",239
11860,"The Other Fellow","F. Hopkinson Smith","2514,2514"
11861,"Fritz to the Front","Edward L. Wheeler","20681,20681,20681,20681,21732,21732,20681,21732"
11862,"Queen Victoria","Lytton Strachey","2514,2514,2514,2514,2514"
11863,"Canada, My Land","W. M. MacKeracher",21740
11864,"Res Judicatae","Augustine Birrell","7740,7969"
11865,"Encyclopaedia Britannica, 11th Edition, Volume 11, Slice 4",Various,"15879,4084,21336,20908,22720,2438,20430,1169,4089,18527,20357,22720,1571,21921,21921,21149,21740,20430,2870,22720,21921,20430,1571,1601,20321,146,239,7835,1405,1169,1601,18445,20430,20489,20489,21740,6965"
11866,"The Sixth Sense","Stephen McKenna","8334,474,505"
11867,"Mr. Punch at the Seaside",Various,2576
11868,Woodcraft,"Alan Douglas",20534
11869,"In a Glass Darkly, v. 2/3","Joseph Sheridan Le Fanu",1571
11870,"The Boy Aviators' Flight for a Fortune","Wilbur Lawton","20430,20430,20430,20430,20430,20430,20430,20430,20430,20681,20430,20430,191,191,20430,20430,20430,20430,20430"
11871,"Marjorie Dean College Junior","Pauline Lester",21921
11872,"Cecil Castlemaine's Gage, Lady Marabout's Troubles, and Other Stories",Ouida,1571
11873,"Colorado--The Bright Romance of American History","F. C. Grable","22720,14249,14249,14249,14249,14578,14249,14249,239,2490,1601,14249,22720,22720,1601,22720,22720,22720,22687,22720,22720,1601,1601,1601,22720,22720,22720,22720,22720,20939,20556,21190,21190,21190,22679,21190,22808,22720,20357,22720,2490,22720,22720,20357,22720,23459,22808,1601,20939,20357,22776,20939,239,15135,236,22720,20430,22888,22720,22720,22516,1405,14249,1601,22720,20078,20214"
11874,"The Adventures of a Widow","Edgar Fawcett","21969,20373,20373"
11875,"An Introduction to the History of Japan","Katsuro Hara","19983,19983,20976,20976"
11876,"The Main Chance","Meredith Nicholson","20357,20357,21205,20045,20045,20045,20045,20045,20045,20045,20045,20357,21150,20357,15378,20430"
11877,"John Greenleaf Whittier","W. Sloane Kennedy","20410,21329,1295,15646"
11878,"The Deluge, Vol. I. (of 2)","Henryk Sienkiewicz",21650
11879,"Telepathy and the Subliminal Self","R. Osgood Mason","21426,21426,20430,20430"
11880,"The Ranchman","Charles Alden Seltzer","20357,20357,20357,20357,20357,20357,20357"
11881,"The Sea and the Jungle","H. M. Tomlinson","191,8334,191,1571,2870,2870,2870,2275,2870,2275,2870,2870,2870,1598,2870,7969,2275,2275,2275,2275,2870,2275,2275,2275,2275,2275,2870,2275,2870,2275,2275,2275,2275,2275,2275,2870,2275,2275,2870,2870,2870,2870,2870,2870,2870,2870,2275,2870,2275,20430,2275,2275,2275,2275"
11882,"The Wayfarers","Mary Stewart Cutting",239
11883,"The Turner Twins","Ralph Henry Barbour",21921
11884,"Pioneers Of France In The New World: France and England in North America, Part First","Francis Parkman, Jr.","236,20789,21148,20789,20267,20267,20267,1405,15656,21969,15656,14578,1405,21740,19983,21071,21359,21740,2561"
11885,"The Breeding Birds of Kansas","Richard F. Johnston","22705,20357"
11886,"Castles and Chateaux of Old Touraine and the Loire Country","Francis Miltoun","6967,6981,6981,6981,6967"
11887,"The Argus Pheasant","John Charles Beecham","15135,8334"
11888,"Holidays & Happy-Days","Hamish Hendry","22760,21572,21572"
11889,"Wilson's Tales of the Borders and of Scotland, Vol. XX","Alexander Leighton",20792
11890,"Olinda's Adventures: or the Amours of a Young Lady",Anonymous,"22455,22455,22455,22455"
11891,"A Daughter of the Land","Gene Stratton-Porter","20489,20489"
11892,"Down the Yellowstone","Lewis R. Freeman","20430,20078,20783,20357,21049,20430,22455,20430"
11893,"The Moors in Spain","Stanley Lane-Poole","22720,22720,22720"
11894,"The Galley Slave's Ring","Eugene Sue",6981
11895,"English Lands Letters and Kings","Donald G. Mitchell","20078,21149,21149,21149,21918,22674,7740"
11896,"Great Britain's Sea Policy","Gilbert Murray",239
11897,"Supernatural Religion, Vol. II. (of III)","Walter Richard Cassels",21918
11898,"The Tigress","Anne Warner","23613,11893,11893,23613,23613"
11899,"Digital PDP15 Price List",Anonymous,"20564,20459,21519,22516,22455,22516,15135,22888"
11900,"The History of the Post Office in British North America","William Smith","8325,20342,21150,21149,21149,21359,21150,21359,21359,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21150,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,2490,21740,2489,2489,2489,20430,239,239,2489,2489,21740,20430,21740,239,239,239,239,239,239,239,239,2489,20430,21740,21740,21740,21740,21740,20342,21740,21740,21149,21740,21359,21740,21740,21740,21740"
11901,"Stories about Famous Precious Stones","Mrs Goddard Orpen",15879
11902,"Kitty's Conquest","Charles King","20430,20646,20430,20430,20646,20646,20430,20430,20430,20430,20430,20430,20430,20430,22687,22687,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20646,20430,20430,20430,20430,20430,21192"
11903,"The City of Numbered Days","Francis Lynde","239,239,20357,20357,20357"
11904,Caybigan,"James Hopper","236,236,236,239"
11905,"The Young Dragoon","A.W. Drayson","2576,1405,20430,20430,2514"
11906,"The Claw","Cynthia Stockley","23613,23613,23613"
11907,"Pink Gods and Blue Demons","Cynthia Stockley",23613
11908,"Wild Honey","Cynthia Stockley","23613,23613,23650,23613,23613,23613,23613,23613"
11909,"The Decameron, Volume I","Giovanni Boccaccio","144,12288"
11910,"The Outspan","Percy Fitzpatrick","2579,21619"
11911,"The Bigamist","F.E. Mills Young","23613,23508,23613,23613,23613,23613,23613,23508,23508,23613,23613,23613,23613,23613,23613,23574,23613"
