id,title,author
11486,"A Word to Women","Mrs. C. E. Humphry"
11487,"The Secret of Lonesome Cove","Samuel Hopkins Adams"
11488,"Gabriel Conroy","Bert Harte"
11489,"A Day with Samuel Taylor Coleridge","May Byron"
11490,"Memoirs of Benjamin Franklin; Written by Himself. [Vol. 1 of 2]","Benjamin  Franklin"
11491,"Gunpowder Treason and Plot","Harold Avery"
11492,"In Both Worlds","William Henry Holcombe"
11493,"The Universe a Vast Electric Organism","George Woodward Warder"
11494,"The Mentor: The Weather","Charles Fitzhugh Talman"
11495,"Letters of David Ricardo to Thomas Robert Malthus, 1810-1823","David Ricardo"
11496,"Our Artist in Cuba, Peru, Spain and Algiers","George W. Carleton"
11497,"The American Missionary -- Volume 39, No. 10, October, 1885",Various
11498,"Memorial of Mrs. Lucy Gilpatrick Marsh delivered June 22, 1868.","A. C. Thompson"
11499,"Problems in Greek history","John Pentland Mahaffy"
11500,"The Salamander","Owen Johnson"
11501,"Life of John Keats","Sidney Colvin"
11502,"Dorothy's Double","G. A. Henty"
11503,"Faithful Margaret","Annie Ashmore"
11504,"Zoe; Or, Some Day","May Leonard"
11505,"J. Poindexter, Colored","Irvin Shrewsbury Cobb"
11506,"Dangerous Ground","Lawrence L. Lynch"
11507,"The Wye and Its Associations","Leitch Ritchie"
11508,"If Any Man Sin","H. A. Cody"
11509,"Wives and Widows; or The Broken Life","Ann S. Stephens"
11510,"Fifty Years In The Northwest","William Henry Carman Folsom"
11511,"Dave Porter on Cave Island","Edward Stratemeyer"
11512,"The Mythologies of Ancient Mexico and Peru","Lewis Spence"
11513,"Colonial Expeditions to the Interior of California Central Valley, 1800-1820","Sherburne Friend Cook"
11514,"Erskine Dale--Pioneer","John Fox"
11515,"The Best Policy","Elliott Flower"
11516,"Ruth Fielding In the Red Cross","Alice B. Emerson"
11517,"Ruth Fielding In the Saddle","Alice B. Emerson"
11518,"Ruth Fielding at Silver Ranch","Alice B. Emerson"
11519,"The Turn of the Tide","Eleanor H. Porter"
11520,"The International Monthly, Volume 4, No. 2, September, 1851",Various
11521,"Mercedes of Castile","J. Fenimore Cooper"
11522,"Who Cares?","Cosmo Hamilton"
11523,Jessamine,"Marion Harland"
11524,"The Pictorial Press","Mason Jackson"
11525,"The White Hecatomb","William Charles Scully"
11526,"Between Sun and Sand","William Charles Scully"
11527,"By Veldt and Kopje","William Charles Scully"
11528,"Lodges in the Wilderness","William Charles Scully"
11529,"The Pony Rider Boys in the Alkali","Frank Gee Patchin"
11530,"The Motor Girls at Camp Surprise","Margaret Penrose"
11531,"Art Principles","Ernest Govett"
11532,"The Soul of Susan Yellam","Horace Annesley Vachell"
11533,"Widger's Quotations from Albert Bigelow Paine on Mark Twain","David Widger"
11534,"The Coming of Coal","Robert W. Bruere"
11535,"Chronicles of the Schonberg-Cotta Family","Elizabeth Rundle Charles"
11536,"Wonderland; or Alaska and the Inside Passage","Lieut. Frederick Schwatka"
11537,"The Friars in the Philippines","Ambrose Coleman"
11538,"The Story of an Untold Love","Paul Leicester Ford"
11539,"The Art of Architecture",Anonymous
11540,"The Disturbing Charm","Berta Ruck"
11541,"King of the Air","Herbert Strang"
11542,"Linda Lee, Incorporated","Louis Joseph Vance"
11543,Photogravure,"Henry R. Blaney"
11544,"Renaissance in Italy: Italian Literature","John Addington Symonds"
11545,"The Nineteenth Century Apostle of the Little Ones","E. Uhlrich"
11546,"Richard III: His Life & Character","Clements R. Markham"
11547,"Encyclopaedia Britannica, 11th Edition, Volume 10, Slice 2",Various
11548,"Mentally Defective Children","Alfred Binet"
11549,"The Dwelling Place of Light, Volume 1","Winston Churchill"
11550,"Glacier National Park [Montana]","United States Dept. of the Interior"
11551,"The Mail Pay on the Burlington Railroad",Anonymous
11552,"A Butterfly on the Wheel","Cyril Arthur Edward Ranger Gull"
11553,"United States Government Publications, v. 8  Jan-Jun 1892",Compiled
11554,"Summer Birds From the Yucatan Peninsula","Erwin E. Klaas"
11555,"Privateers and Privateering","E. P. Statham"
11556,"Riches of Grace","E. E. Byrum"
11557,"The Red Year","Louis Tracy"
11558,Dante,"Philip H. Wicksteed"
11559,"The Sweep Winner","Nat Gould"
11560,Auriol,"W. Harrison Ainsworth"
11561,"A History of Germany","Bayard Taylor"
11562,"The Camp Fire Girls on the Open Road","Hildegard G. Frey"
11563,"The City of the Mormons","Henry Caswall"
11564,"Modern Society","Julia Ward Howe"
11565,"The Dwelling Place of Light, Complete","Winston Churchill"
11566,"A Reconstructed Marriage","Amelia Edith Huddleston Barr"
11567,"The Toy Shop (1735) The King and the Miller of Mansfield (1737)","Robert Dodsley"
11568,"The Kidnapped President","Guy Boothby"
11569,"On the cattle plague: or, Contagious typhus in horned cattle. Its history, origin, description, and treatment","Honore Bourguignon"
11570,"The Teaching of Art Related to the Home","Federal Board for Vocational Education"
11571,"Rounding up the Raider","Percy F. Westerman"
11572,"The Land of Little Rain","Mary Austin"
11573,"Selections From American Poetry",Various
11574,"The Dispatch-Riders","Percy F. Westerman"
11575,"Joan Thursday","Louis Joseph Vance"
11576,"A Man's Hearth","Eleanor M. Ingram"
11577,"Commercialized Prostitution in New York City","George Jackson Kneeland"
11578,"The Higher Court","Mary Stewart Daggett"
11579,"The Weight of the Crown","Fred M. White"
11580,"Our Army at the Front","Heywood Broun"
11581,"Harper's New Monthly Magazine, v. 3, number 18",Various
11582,"Amusing Prose Chap Books",Various
11583,"The Childhood of Distinguished Women","Selina A. Bower"
11584,"History Of The Mackenzies","Alexander Mackenzie"
11585,"The Descent of Man and Selection in Relation to Sex","Charles Darwin"
11586,"Great Masters in Painting: Perugino","George C. Williamson"
11587,"The Trail of the Axe","Ridgwell Cullum"
11588,"The Last Straw","Harold Titus"
11589,"The History of Peru","Henry S. Beebe"
11590,"The Guns of Bull Run","Joseph A. Altsheler"
11591,"Blackwood's Edinburgh Magazine, Volume 60, No. 372, October 1846",Various
11592,"Nobody's Child","Elizabeth Dejeans"
11593,"Blanco y Colorado","William C. Tetley"
11594,"Playing With Fire","Amelia Edith Huddleston Barr"
11595,"Unto This Last and Other Essays on Political Economy","John Ruskin"
11596,"The American Occupation of the Philippines 1898-1912","James H. Blount"
11597,"The Motley Muse","Harry Graham"
11598,"Pope: His Descent and Family Connections","Joseph Hunter"
11599,"In the Andamans and Nicobars","C. Boden Kloss"
11600,"The Seven Follies of Science [2nd ed.]","John Phin"
11601,"A Plain Introduction to the Criticism of the New Testament, Vol. I.","Frederick Henry Ambrose Scrivener"
11602,"A Plain Introduction to the Criticism of the New Testament, Vol. II.","Frederick Henry Ambrose Scrivener"
11603,"The Brute","Frederic Arnold Kummer"
11604,"Education in England in the Middle Ages","Albert William Parry"
11605,"Chaucer and His Times","Grace E. Hadow"
11606,"Guide to the Kindergarten and Intermediate Class and Moral Culture of Infancy.","Elizabeth P. Peabody"
11607,"The Complete Works of Josh Billings","Henry W. Shaw"
11608,"How to Get Strong and How to Stay So","William Blaikie"
11609,"Legends of The Kaw","Carrie de Voe"
11610,"The International Monthly, Volume 4, No. 3, October, 1851",Various
11611,"The Roycroft Dictionary","Elbert Hubbard"
11612,"God and the State","Mikhail Aleksandrovich Bakunin"
11613,"A Catalogue of Books Published by Methuen and Company, February, 1908","Methuen and Company"
11614,"What and Where is God?","Richard La Rue Swain"
11615,"A Claim on Klondyke","Edward Roper"
11616,"The Warden of the Plains","John Maclean"
11617,"Teaching the Child Patriotism","Kate Upson Clarke"
11618,"Dramatic Technique","George Pierce Baker"
11619,"Four American Naval Heroes","Mabel Beebe"
11620,Hania,"Henryk Sienkiewicz"
11621,"Bahaism and Its Claims","Samuel Graham Wilson"
11622,"The Red Derelict","Bertram Mitford"
11623,"The Dover Road","Charles G. Harper"
11624,"The Rosary","Florence L. Barclay"
11625,"Marital Power Exemplified in Mrs. Packard's Trial, and Self-Defence from the Charge of Insanity","Elizabeth Parsons Ware Packard"
11626,"The Fire Trumpet","Bertram Mitford"
11627,"Three in Norway","James Arthur Lees"
11628,"American Antiquities","Wm. B. Norman"
11629,"Golden Face","Bertram Mitford"
11630,"The Golden Rock","Ernest Glanville"
11631,"A Vendetta of the Desert","William Charles Scully"
11632,"Tales from the Veld","Ernest Glanville"
11633,"The Yellow Chief","Mayne Reid"
11634,"The White Squaw","Mayne Reid"
11635,"The Influence of the Bible on Civilisation","Ernst Von Dobschutz"
11636,"The Kentuckian in New-York, Volume I (of 2)","William Alexander Caruthers"
11637,"The Life of a Celebrated Buccaneer","Richard Clynton"
11638,"The Colonization of North America","Herbert Eugene Bolton"
11639,"The Cup of Trembling and Other Stories","Mary Hallock Foote"
11640,"A Night in Avignon","Cale Young Rice"
11641,"A Key to Lord Tennyson's 'In Memoriam'","Alfred Gatty"
11642,"Chickamauga, Useless, Disastrous Battle","Smith D  Atkins"
11643,"Women Novelists of Queen Victoria's Reign","Mrs. [Margaret] Oliphant"
11644,"The Coward","Henry Morford"
11645,"Louisiana Beef Cattle","William Carter Stubbs"
11646,"The Philosophic Grammar of American Languages, as Set Forth by Wilhelm von Humboldt","Daniel G. Brinton"
11647,"The Mystery of Francis Bacon","William T. Smedley"
11648,"Subspeciation in Pocket Gophers of Kansas, [KU. Vol. 1 No. 11]","Bernardo Villa-R"
11649,"Cruisings in the Cascades","George O. Shields"
11650,"The Log of a Sea-Waif","Frank T. Bullen"
11651,"Tales from the Old French",Various
11652,"Andreas Hofer","Lousia Muhlbach"
11653,"The Journal of Countess Francoise Krasinska","Kasimir Dziekonska (translator)"
11654,"The Palm Tree Blessing","W. E. Shepard"
11655,"Wolfville Days","Alfred Henry Lewis"
11656,"A House Party with the Tucker Twins","Nell Speed"
11657,"Tripping with the Tucker Twins","Nell Speed"
11658,"In God's Garden","Amy Steedman"
11659,"Scenes and Adventures in the Semi-Alpine Region of the Ozark Mountains of Missouri and Arkansas","Henry Rowe Schoolcraft"
11660,"The Puddleford Papers,","H. H. Riley"
11661,"An American","Belle W. Gue"
11662,"The Albert N'Yanza, Great Basin of the Nile","Sir Samuel White Baker"
11663,Fore!,"Charles Emmett Van Loan"
11664,"Molly Brown's Freshman Days","Nell Speed"
11665,"The Vicar of Wrexhill","Mrs [Frances] Trollope"
11666,"Sketch of Dunbarton, New Hampshire","Ella  Mills"
11667,Anarchism,"Paul Eltzbacher"
11668,"Revisiting the Earth","James Langdon Hill"
11669,"History of the Discovery of the Northwest by John Nicolet in 1634","Consul Willshire Butterfield"
11670,"Peg Woffington","Charles Reade"
11671,"A New Medley of Memories","David Hunter-Blair"
11672,"Graceful Riding","S. C. Waite"
11673,"A Bayard From Bengal","Hurry Bungsho Jabberjee"
11674,"By Right of Purchase","Harold Bindloss"
11675,"The Black Opal","Katharine Susannah Prichard"
11676,Hookers,"Richard F. Mann"
11677,"The Best Psychic Stories",Various
11678,"The Haunted Homestead","E. D. E. N. Southworth"
11679,Dickens,"Adolphus William Ward"
11680,"Recollections of a Varied Life","George Cary Eggleston"
11681,"House of Torment","Cyril Arthur Edward Ranger Gull"
11682,"One Maid's Mischief","George Manville Fenn"
11683,"Dutch the Diver","George Manville Fenn"
11684,"America First","Frances Nimmo Greene"
11685,"Occultism and Common-Sense","Beckles Willson"
11686,"Tales of the Wonder Club, Volume III","M. Y. Halidom (pseud. Dryasdust)"
11687,"The Browning Cyclopaedia","Edward Berdoe"
11688,"Encyclopaedia Britannica, 11th Edition, Volume 10, Slice 1",Various
11689,"Molly Brown of Kentucky","Nell Speed"
11690,"Peggy Owen Patriot","Lucy Foster Madison"
11691,"Peggy Owen at Yorktown","Lucy Foster Madison"
11692,"McClure's Magazine, Vol. 1, No. 1, June 1893",Various
11693,"The Mountains of Oregon","William Gladstone Steel"
11694,"Ruth Fielding Down in Dixie","Alice B. Emerson"
11695,"Ruth Fielding Homeward Bound","Alice B. Emerson"
11696,"The Stronghold","Miriam Haynie"
11697,"St. Nicholas v. 13 No. 9 July 1886",Various
11698,"Capturing a Locomotive","William Pittenger"
11699,"The Romantic Story of the Mayflower Pilgrims","Albert Christopher Addison"
11700,"Religion and the War",Various
11701,"Cynthia Wakeham's Money","Anna Katharine Green"
11702,"The Firefly Of France","Marion Polk Angellotti"
11703,"The Further Adventures of O'Neill in Holland","J. Irwin Brown"
11704,"The Teacher","George Herbert Palmer"
11705,"Humorous Readings and Recitations",Various
11706,"Inventions in the Century","William Henry Doolittle"
11707,"Twenty-Five Years in the Rifle Brigade","William  Surtees"
11708,Jonah,"Louis Stone"
11709,"More Misrepresentative Men","Harry Graham"
11710,"Concerning Lafcadio Hearn","George M. Gould"
11711,"McClure's Magazine, Vol. 1, No. 4, September 1893",Various
11712,"Treading the Narrow Way","R. E. Barrett"
11713,"Critical Studies",Ouida
11714,"A Twofold Life","Wilhelmine von Hillern"
11715,"Getting Gold","J. C. F. Johnson"
11716,"A Book About the Theater","Brander Matthews"
11717,"The Mormon Puzzle, and How to Solve It","R. W. Beers"
11718,"Myth, Ritual And Religion, Vol. 2 (of 2)","Andrew Lang"
11719,"Bygones Worth Remembering, Vol. 2 (of 2)","George Jacob Holyoake"
11720,"Acres of Diamonds","Russell H. Conwell"
11721,"The Romance of Polar Exploration","G. Firth Scott"
11722,"The League of the Leopard","Harold Bindloss"
11723,"Mr. Crewe's Career, Book I.","Winston Churchill"
11724,"Advanced Toy Making for Schools","David M. Mitchell"
11725,Rome,"Mildred Anna Rosalie Tuker"
11726,"Visits and Sketches at Home and Abroad with Tales and Miscellanies Now First Collected","Anna Jameson"
11727,"Mr. Crewe's Career, Book II.","Winston Churchill"
11728,"Visits and Sketches at Home and Abroad with Tales and Miscellanies Now First Collected","Anna Jameson"
11729,"Japan and the California Problem","Toyokichi Iyenaga"
11730,"The Vulture Maiden","Wilhelmine von Hillern"
11731,Throckmorton,"Molly Elliot Seawell"
11732,"Mr. Crewe's Career, Book III.","Winston Churchill"
11733,"A Tree with a Bird in it:","Margaret Widdemer"
11734,"Conscript 2989","Irving Crump"
11735,"The Camp Fire Girls at Onoway House","Hildegard G. Frey"
11736,"Notes and Queries, Vol. III, Number 83, May 31, 1851",Various
11737,"The Lure of the Pen","Flora Klickmann"
11738,"Mr. Crewe's Career, Complete","Winston Churchill"
11739,"The Works of Daniel Webster, Volume 1","Daniel Webster"
11740,"Blue Robin, the Girl Pioneer","Rena I. Halsey"
11741,Think,"Col. Wm. C. Hunter"
11742,"Marjorie Dean College Freshman","Pauline Lester"
11743,"The Story of Antony Grace","George Manville Fenn"
11744,"The Invasion of France in 1814","Emile Erckmann"
11745,"The Plebiscite","Emile Erckmann"
11746,"School Reading by Grades","James Baldwin"
11747,"South Africa and the Transvaal War, Vol. 3 (of 6)","Louis Creswicke"
11748,"The Real Man","Francis Lynde"
11749,"The Ruby of Kishmoor","Howard Pyle"
11750,"Cotton, Its Progress from the Field to the Needle",Anonymous
11751,"Emerson Radio Model 39 Warranty Card",Anonymous
11752,"Rambles by Land and Water","B. M. Norman"
11753,Nicotiana,"Henry James Meller"
11754,"The Chronicles of Clovis",Saki
11755,"The Sea Bride","Ben Ames Williams"
11756,"Rheims and the Battles for its Possession",Various
11757,"McClure's Magazine, Vol. 1, No. 5, October 1893",Various
11758,"Letters of Franz Liszt, Volume 1, 'From Paris to Rome:","Franz Liszt; Letters assembled by La Mara and translated"
11759,"Health, Healing, and Faith","Russell H. Conwell"
11760,"A Cabinet Secret","Guy Boothby"
11761,"George Alfred Henty","George Manville Fenn"
11762,"William the Third","H. D. Traill"
11763,"Benjamin Franklin; Self-Revealed, Volume I (of 2)","Wiliam Cabell Bruce"
11764,"Benjamin Franklin; Self-Revealed, Volume II (of 2)","Wiliam Cabell Bruce"
11765,"The Outlaw of Torn","Edgar Rice Burroughs"
11766,"A History of the Boundaries of Arlington County, Virginia","Office of the County Manager, Arlington"
11767,"Marjorie Dean, College Senior","Pauline Lester"
11768,"In Wild Rose Time","Amanda M. Douglas"
11769,"Pawnee Hero Stories and Folk-Tales","George Bird Grinnell"
11770,"The Letters of Amerigo Vespucci","Amerigo Vespucci"
11771,"Memoir of Mary L. Ware, Wife of Henry Ware, Jr.","Edward B. Hall"
11772,Murillo,"S. L. Bensusan"
11773,"In the Days of the Guild","Louise Lamprey"
11774,"Legend of Barkhamsted Light House","Lewis Sprague Mills"
11775,"Biography of Rev. Hosea Ballou","Maturin M. Ballou"
11776,"Richard Galbraith, Mariner","Emma Watts Phillips"
11777,"Jock of the Bushveld","Percy FitzPatrick"
11778,"The Heart of Canyon Pass","Thomas K. Holmes"
11779,"City Ballads","Will Carleton"
11780,"Heroes of Israel","Theodore Gerald Soares"
11781,"A Child of the Jago","Arthur Morrison"
11782,"My Attainment of the Pole","Frederick A. Cook"
11783,"Equatorial America","Maturin M. Ballou"
11784,"The Motion Picture Chums at Seaside Park","Victor Appleton"
11785,"Harriet Martineau","Florence Fenwick Miller"
11786,"The Story of the Toys","Mary Harris Toy Dodge"
11787,"The Women of the Confederacy","J. L. Underwood"
11788,"Old Trails on the Niagara Frontier","Frank H. Severance"
11789,"The Lost Heir","G. A. Henty"
11790,"Finger Prints","Francis Galton"
11791,"Fifty Contemporary One-Act Plays",Various
11792,"The eBook is 40 (1971-2011)","Marie Lebert"
11793,"An Englishman's View of the Battle between the Alabama and the Kearsarge","Frederick Milnes Edge"
11794,"Some Phases of Sexual Morality and Church Discipline in Colonial New England","Charles Francis Adams"
11795,"The ghosts of their ancestors","Weymer Jay Mills"
11796,"The Ontario Archives","Alexander Fraser"
11797,"The Future of Brooklyn","Alfred C. Chapin"
11798,"Every Man for Himself","Norman Duncan"
11799,"The Land of Lure","Elliott Smith"
11800,"The Fortunes and Misfortunes of the Famous Moll Flanders &c.","Daniel Defoe"
11801,"Tessa Wadsworth's Discipline","Jennie M. Drinkwater"
11802,"Butterflies Worth Knowing","Clarence M. Weed"
11803,"Get-Rich-Quick Wallingford","George Randolph Chester"
11804,"Carolyn of the Corners","Ruth Belmore Endicott"
11805,"Elements of Morals","Paul Janet"
11806,"The Comforts of Home","Ralph Bergengren"
11807,"The Girls of Central High","Gertrude W. Morrison"
11808,"Foul Play","Charles Reade"
11809,"Four Afloat","Ralph Henry Barbour"
11810,"The Express Companies of the United States","Bert Benedict"
11811,"Getting at the Inner Man/Fifty Years on the Lecture Platform","Robert Shackleton"
11812,"With Fire and Sword","Henryk Sienkiewicz"
11813,"Americanisms and Briticisms","Brander Matthews"
11814,"English and Scottish Ballads, Volume I (of 8)",Various
11815,"Religion And Health","James J. Walsh"
11816,"Journal of Dr. Elias Cornelius, a Revolutionary Surgeon","Elias Cornelius"
11817,"The Key to Success","Russell H. Conwell"
11818,"Stories of the Railroad","John A. Hill"
11819,"The Red Room","August Strindberg"
11820,"A Naturalist's Voyage Round the World","Charles Darwin"
11821,"The Coming of the King","James Hocking"
11822,"The History of the Life and Adventures of Mr. Duncan Campell","Daniel Defoe"
11823,"Happy Hawkins","Robert Alexander Wason"
11824,"An Alphabetical List of Books Contained in Bohn's Libraries (1892)","Bohn's Libraries"
11825,"Life of Mary Queen of Scots, Volume I (of 2)","Henry Glassford Bell"
11826,"The Valiant Runaways","Gertrude Atherton"
11827,"Through these Eyes","Lauren Ann Isaacson"
11828,"Encyclopaedia Britannica, 11th Edition, Volume 11, Slice 3",Various
11829,Successward,"Edward W. Bok"
11830,"The Trimmed Lamp","O. Henry"
11831,"A Brief Handbook of English Authors","Oscar Fay Adams"
11832,"World's End","Richard Jefferies"
11833,"An Introduction to Chemical Science","R.P. Williams"
11834,"Great Ralegh","Hugh De Selincourt"
11835,"In Strange Company","Guy Boothby"
11836,"Through Shot and Flame","J. D. Kestell"
11837,"The Locusts' Years","Mary Helen Fee"
11838,"Love Eternal","H. Rider Haggard"
11839,"The Bradys' Chinese Clew","Francis Worcester Doughty"
11840,"What Works: Schools Without Drugs","United States Department of Education"
11841,"Literary Blunders","Henry Benjamin Wheatley"
11842,"The Backwoodsman",Various
11843,"Humpback Whales in Glacier Bay National Monument, Alaska","United States Department of Commerce, Marine Mammal Commission"
11844,"Cedric, the Forester","Bernard Gay Marshall"
11845,"The Demands of Rome","Elizabeth Schoffen"
11846,"Hints to Pilgrims","Charles Stephen Brooks"
11847,"Little Women","Louisa M. Alcott"
11848,"A Life For a Love","L. T. Meade"
11849,"Frontier Folk","George Booth"
11850,"Life in the Confederate Army","Arthur Peronneau Ford"
11851,"The Sixty-First Second","Owen Johnson"
11852,"A History of the Cries of London","Charles Hindley"
11853,"The Moral and Intellectual Diversity of Races","Arthur, comte de Gobineau"
11854,"History of the Buccaneers of America","James Burney"
11855,"Hunting in Many Lands",Various
11856,"A Foreword to the Panama-Pacific International Exposition","Juliet Helena Lumbard James"
11857,Salome,"Emma Marshall"
11858,"The Happy Golfer","Henry Leach"
11859,"Subconscious Religion","Russell H. Conwell"
11860,"The Other Fellow","F. Hopkinson Smith"
11861,"Fritz to the Front","Edward L. Wheeler"
11862,"Queen Victoria","Lytton Strachey"
11863,"Canada, My Land","W. M. MacKeracher"
11864,"Res Judicatae","Augustine Birrell"
11865,"Encyclopaedia Britannica, 11th Edition, Volume 11, Slice 4",Various
11866,"The Sixth Sense","Stephen McKenna"
11867,"Mr. Punch at the Seaside",Various
11868,Woodcraft,"Alan Douglas"
11869,"In a Glass Darkly, v. 2/3","Joseph Sheridan Le Fanu"
11870,"The Boy Aviators' Flight for a Fortune","Wilbur Lawton"
11871,"Marjorie Dean College Junior","Pauline Lester"
11872,"Cecil Castlemaine's Gage, Lady Marabout's Troubles, and Other Stories",Ouida
11873,"Colorado--The Bright Romance of American History","F. C. Grable"
11874,"The Adventures of a Widow","Edgar Fawcett"
11875,"An Introduction to the History of Japan","Katsuro Hara"
11876,"The Main Chance","Meredith Nicholson"
11877,"John Greenleaf Whittier","W. Sloane Kennedy"
11878,"The Deluge, Vol. I. (of 2)","Henryk Sienkiewicz"
11879,"Telepathy and the Subliminal Self","R. Osgood Mason"
11880,"The Ranchman","Charles Alden Seltzer"
11881,"The Sea and the Jungle","H. M. Tomlinson"
11882,"The Wayfarers","Mary Stewart Cutting"
11883,"The Turner Twins","Ralph Henry Barbour"
11884,"Pioneers Of France In The New World: France and England in North America, Part First","Francis Parkman, Jr."
11885,"The Breeding Birds of Kansas","Richard F. Johnston"
11886,"Castles and Chateaux of Old Touraine and the Loire Country","Francis Miltoun"
11887,"The Argus Pheasant","John Charles Beecham"
11888,"Holidays & Happy-Days","Hamish Hendry"
11889,"Wilson's Tales of the Borders and of Scotland, Vol. XX","Alexander Leighton"
11890,"Olinda's Adventures: or the Amours of a Young Lady",Anonymous
11891,"A Daughter of the Land","Gene Stratton-Porter"
11892,"Down the Yellowstone","Lewis R. Freeman"
11893,"The Moors in Spain","Stanley Lane-Poole"
11894,"The Galley Slave's Ring","Eugene Sue"
11895,"English Lands Letters and Kings","Donald G. Mitchell"
11896,"Great Britain's Sea Policy","Gilbert Murray"
11897,"Supernatural Religion, Vol. II. (of III)","Walter Richard Cassels"
11898,"The Tigress","Anne Warner"
11899,"Digital PDP15 Price List",Anonymous
11900,"The History of the Post Office in British North America","William Smith"
11901,"Stories about Famous Precious Stones","Mrs Goddard Orpen"
11902,"Kitty's Conquest","Charles King"
11903,"The City of Numbered Days","Francis Lynde"
11904,Caybigan,"James Hopper"
11905,"The Young Dragoon","A.W. Drayson"
11906,"The Claw","Cynthia Stockley"
11907,"Pink Gods and Blue Demons","Cynthia Stockley"
11908,"Wild Honey","Cynthia Stockley"
11909,"The Decameron, Volume I","Giovanni Boccaccio"
11910,"The Outspan","Percy Fitzpatrick"
11911,"The Bigamist","F.E. Mills Young"
11912,"The Shadow of the Past","F.E. Mills Young"
11913,Coelebs,"F.E. Mills Young"
11914,"Yankee Girls in Zulu Land","Louise Vescelius-Sheldon"
11915,"An I.D.B. in South Africa","Louise Vescelius-Sheldon"
11916,"Hot corn: Life Scenes in New York Illustrated","Solon Robinson"
11917,"The Triumph of Jill","F.E. Mills Young"
11918,"The City in the Clouds","C. Ranger Gull"
11919,"Stage-coach and Tavern Days","Alice Morse Earle"
11920,"Chaucer and His England","G. G. Coulton"
11921,"Fly Fishing in Wonderland",Klahowya
11922,"Little Folks of North America","Mary Hazelton Wade"
11923,"Encyclopaedia Britannica, 11th Edition, Volume 11, Slice 5",Various
11924,"Dickens As an Educator","James L. (James Laughlin) Hughes"
11925,"The Works of Honore de Balzac","Honore de Balzac"
11926,"Virginia Architecture in the Seventeenth Century","Henry Chandlee Forman"
11927,"Susan Clegg and Her Love Affairs","Anne Warner"
11928,"Garcia the Centenarian And His Times","M. Sterling Mackinlay"
11929,"Lay Morals","Robert Louis Stevenson"
11930,"The Whale and the Grasshopper","Seumas O'Brien"
11931,"Those Dale Girls","Frank Weston Carruth"
11932,"The Deluge, Vol. II. (of 2)","Henryk Sienkiewicz"
11933,"DISTURBANCES OF THE HEART","OLIVER T. OSBORNE, A.M., M.D."
11934,"The Blue Grass Seminary Girls on the Water","Carolyn Judson Burnett"
11935,"The Standard Galleries - Holland","Esther Singleton"
11936,"The Bradys After a Chinese Princess","Francis Worcester Doughty"
11937,"The Boy's Book of Heroes","Helena Peake"
11938,"Geographic Variation in the Pocket Gopher, Thomys bottae, in Colorado","Phillip M. Youngman"
11939,Wolfville,"Alfred Henry Lewis"
11940,"Tiny Luttrell","Ernest William Hornung"
11941,"Music-Study in Germany","Amy Fay"
11942,"Harry Milvaine","Gordon Stables"
11943,"Medical Life in the Navy","Gordon Stables"
11944,"Aileen Aroon, A Memoir","Gordon Stables"
11945,"The Little Red Foot","Robert W. Chambers"
11946,"Brenda's Bargain","Helen Leah Reed"
11947,"The Clan Fraser in Canada","Alexander Fraser"
11948,"Count Frontenac","William Dawson LeSueur"
11949,"Four Years in France","Henry Digby Beste"
11950,Mortmain,"Arthur Cheny Train"
11951,"Lighter Moments from the Notebook of Bishop Walsham How","Frederick Douglas How"
11952,"The Old-Fashioned Fairy Book","Constance Cary Harrison"
11953,"Contemporary Socialism","John Rae"
11954,"Pray You, Sir, Whose Daughter?","Helen H. Gardener"
11955,"Annie o' the Banks o' Dee","Gordon Stables"
11956,"Motor Truck Logging Methods","Frederick Malcolm Knapp"
11957,"A Far Country, Book 1","Winston Churchill"
11958,"Object: matrimony","Montague Glass"
11959,"Beautiful Bulbous Plants","John Weathers"
11960,"The Right to Privacy","Samuel D. Warren"
11961,"Rob of the Bowl, Vol. I (of 2)","John P. Kennedy"
11962,"A Far Country, Book 2","Winston Churchill"
11963,"The Secret Toll","Paul And Mabel Thorne"
11964,"Notes and Queries, Number 84, June 7, 1851",Various
11965,"A Far Country, Book 3","Winston Churchill"
11966,"The Argentine Republic",Anonymous
11967,"Letters to Severall Persons of Honour","John Donne"
11968,"Tobacco Leaves","W. A. Brennan"
11969,"Chlorination of Water","Joseph  Race"
11970,"A Far Country, Complete","Winston Churchill"
11971,"My Memoirs","Marguerite Steinheil"
11972,"Burning of the Brooklyn Theatre",Anonymous
11973,"Fifty Years of Golf","Horace G. Hutchinson"
11974,"The Strange Story Book","Mrs. Andrew Lang"
11975,"Edgar Saltus: The Man","Marie Saltus"
11976,"Fantastic Fables","Ambrose Bierce"
11977,"On the Field of Glory","Henryk Sienkiewicz"
11978,"William Blake","Irene Langridge"
11979,"The Rising Tide of Color Against White World-Supremacy","Theodore Lothrop Stoddard"
11980,"The Writings of Thomas Paine, Vol. I","Thomas Paine"
11981,"The Duke Decides","Headon Hill"
11982,"Trumpeter Fred","Charles King"
11983,"Simon Eichelkatz; The Patriarch","Ulrich Frank"
11984,"Paint Technology and Tests","Henry A. Gardner"
11985,"The Life and Times of Kateri Tekakwitha","Ellen H. Walworth"
11986,"The Life and Death of Doctor Faustus Made into a Farce","William  Mountfort"
11987,"Scientific Culture, and Other Essays","Josiah Parsons Cooke"
